2025-11-07T21:51:56.238551681Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:56.238557784Z [err]    File "<frozen importlib._bootstrap>", line 1204, in _gcd_import
2025-11-07T21:51:56.238564452Z [err]    File "<frozen importlib._bootstrap>", line 1176, in _find_and_load
2025-11-07T21:51:56.238570962Z [err]    File "<frozen importlib._bootstrap>", line 1147, in _find_and_load_unlocked
2025-11-07T21:51:56.238576781Z [err]    File "<frozen importlib._bootstrap>", line 690, in _load_unlocked
2025-11-07T21:51:56.238582672Z [err]    File "<frozen importlib._bootstrap_external>", line 940, in exec_module
2025-11-07T21:51:56.238589159Z [err]    File "<frozen importlib._bootstrap>", line 241, in _call_with_frames_removed
2025-11-07T21:51:56.238594540Z [err]    File "/app/app.py", line 3, in <module>
2025-11-07T21:51:56.238599227Z [err]      from factory import create_app
2025-11-07T21:51:56.238605602Z [err]    File "/app/factory.py", line 15, in <module>
2025-11-07T21:51:56.238611889Z [err]      from auth import auth_bp
2025-11-07T21:51:56.238618532Z [err]    File "/app/auth.py", line 11, in <module>
2025-11-07T21:51:56.238630651Z [err]      from supabase_client import supabase_client
2025-11-07T21:51:56.238639126Z [err]    File "/app/supabase_client.py", line 4, in <module>
2025-11-07T21:51:56.238645881Z [err]      import supabase
2025-11-07T21:51:56.238652941Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/__init__.py", line 22, in <module>
2025-11-07T21:51:56.238664446Z [err]      from ._async.auth_client import AsyncSupabaseAuthClient as ASupabaseAuthClient
2025-11-07T21:51:56.238685860Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/_async/auth_client.py", line 9, in <module>
2025-11-07T21:51:56.238691322Z [err]      from supabase_auth.http_clients import AsyncClient
2025-11-07T21:51:56.238696613Z [err]  ModuleNotFoundError: No module named 'supabase_auth.http_clients'
2025-11-07T21:51:56.238701185Z [err]  [2025-11-07 21:51:56 +0000] [2] [INFO] Worker exiting (pid: 2)
2025-11-07T21:51:56.265212630Z [err]  [2025-11-07 21:51:56 +0000] [1] [ERROR] Worker (pid:2) exited with code 3
2025-11-07T21:51:56.265232025Z [err]  [2025-11-07 21:51:56 +0000] [1] [ERROR] Shutting down: Master
2025-11-07T21:51:56.265242220Z [err]  [2025-11-07 21:51:56 +0000] [1] [ERROR] Reason: Worker failed to boot.
2025-11-07T21:51:57.830449208Z [err]  [2025-11-07 21:51:57 +0000] [1] [INFO] Starting gunicorn 23.0.0
2025-11-07T21:51:57.830453057Z [err]  [2025-11-07 21:51:57 +0000] [1] [INFO] Listening at: http://0.0.0.0:8080 (1)
2025-11-07T21:51:57.830457793Z [err]  [2025-11-07 21:51:57 +0000] [1] [INFO] Using worker: eventlet
2025-11-07T21:51:57.830461953Z [err]  [2025-11-07 21:51:57 +0000] [2] [INFO] Booting worker with pid: 2
2025-11-07T21:51:58.616045398Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
2025-11-07T21:51:58.616061445Z [err]      return util.import_app(self.app_uri)
2025-11-07T21:51:58.616070061Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:58.616077186Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/util.py", line 370, in import_app
